letter_id,sample_date,batch_number,source_filename
PRV-MNT-L008,2025-09-10,53316612,071605_PRV-MNT-L008_BATCH_2025-09-10_53316612.pdf
PRV-MNT-L010,2025-07-21,53315786,090814_PRV-MNT-L010_BATCH_2025-07-21_53315786.pdf
PRV-RVL-L003,2024-11-05,53099725,090835_PRV-RVL-L003_BATCH_2024-11-05_53099725.pdf
PRV-RVL-L006,2025-07-22,53315819,090846_PRV-RVL-L006_BATCH_2025-07-22_53315819.pdf
PRV-RVL-L007,2026-07-23,53554989,105231_PRV-RVL-L007_BATCH_2026-07-23_53554989.pdf
PRV-RVL-L010,2025-07-03,53313580,090926_PRV-RVL-L010_BATCH_2025-07-03_53313580.pdf
PRV-RVL-L011,2025-07-03,53314202,090937_PRV-RVL-L011_BATCH_2025-07-03_53314202.pdf
PRV-RVL-L013,2025-07-03,53296620,090948_PRV-RVL-L013_BATCH_2025-07-03_53296620.pdf
PRV-RVL-L014,2025-07-03,53314096,090959_PRV-RVL-L014_BATCH_2025-07-03_53314096.pdf
PRV-RVL-L015,2025-07-03,53314048,091010_PRV-RVL-L015_BATCH_2025-07-03_53314048.pdf
PRV-RVL-L016,2025-02-11,53182925,091021_PRV-RVL-L016_BATCH_2025-02-11_53182925.pdf
